id,GEOGRAFICO
102,Sports Hub 
103,Medical Assistance Center
103,Mall
103,Temple
103,School
103,Mall
103,School
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
103,Sports Hub 
104,Temple
104,School
104,School
104,School
104,Temple
104,Temple
104,Medical Assistance Center
104,Temple
104,School
104,Sports Hub 
104,Civil aerodrome
105,School
105,School
105,Temple
105,School
105,Temple
105,Temple
105,Temple
105,Temple
105,Mall
105,School
105,Mall
105,Mall
105,School
105,Temple
105,Temple
105,School
105,School
105,School
105,Temple
105,School
105,Temple
105,Temple
105,Temple
105,Temple
105,Temple
105,Temple
105,Temple
105,School
105,School
105,Medical Assistance Center
105,School
105,School
105,Temple
105,Temple
105,Temple
105,Temple
105,Sports Hub 
105,School
105,Sports Hub 
105,Sports Hub 
106,School
106,School
106,School
106,School
106,Mall
106,School
106,School
106,Temple
106,School
106,Mall
106,Mall
106,Temple
106,School
106,Temple
106,School
106,Mall
106,Sports Hub 
106,Sports Hub 
106,Sports Hub 
106,Sports Hub 
106,Sports Hub 
106,Sports Hub 
106,Sports Hub 
106,Sports Hub 
106,Sports Hub 
106,Sports Hub 
106,Sports Hub 
107,School
107,Temple
107,Mall
107,School
107,School
107,School
107,School
107,Mall
107,School
107,School
107,School
107,School
107,Temple
107,School
107,School
107,Temple
107,School
107,School
107,School
107,School
107,Temple
107,Mall
107,School
107,School
107,School
107,Sports Hub 
107,Sports Hub 
107,Sports Hub 
107,Square
107,Sports Hub 
107,School
107,Sports Hub 
107,Sports Hub 
107,Sports Hub 
108,Temple
108,Temple
108,Temple
108,School
108,Temple
108,School
108,School
108,Temple
108,School
108,Temple
108,School
108,Temple
108,School
108,School
108,Temple
108,Temple
108,Temple
108,Temple
108,School
108,Temple
108,School
108,Sports Hub 
108,Sports Hub 
108,Sports Hub 
108,Sports Hub 
108,Sports Hub 
108,Sports Hub 
108,Sports Hub 
108,School
108,Sports Hub 
108,Sports Hub 
108,Sports Hub 
108,Sports Hub 
108,Sports Hub 
108,Sports Hub 
108,Sports Hub 
108,Square
108,Sports Hub 
109,Medical Assistance Center
109,School
109,Temple
109,School
109,School
109,Sports Hub 
109,Sports Hub 
109,School
109,Sports Hub 
109,Temple
109,Sports Hub 
119,Square
119,Square
119,School
119,Sports Hub 
119,Sports Hub 
119,Sports Hub 
119,Sports Hub 
119,Sports Hub 
119,Sports Hub 
119,Sports Hub 
119,Sports Hub 
119,Sports Hub 
119,Sports Hub 
119,Sports Hub 
119,Sports Hub 
119,Restriction of Passage to Pedestrians and/or Automobiles
119,Restriction of Passage to Pedestrians and/or Automobiles
120,School
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Sports Hub 
120,Medical Assistance Center
120,School
120,Restriction of Passage to Pedestrians and/or Automobiles
120,Restriction of Passage to Pedestrians and/or Automobiles
120,Restriction of Passage to Pedestrians and/or Automobiles
120,Restriction of Passage to Pedestrians and/or Automobiles
120,Restriction of Passage to Pedestrians and/or Automobiles
120,Restriction of Passage to Pedestrians and/or Automobiles
120,Restriction of Passage to Pedestrians and/or Automobiles
120,Restriction of Passage to Pedestrians and/or Automobiles
120,Restriction of Passage to Pedestrians and/or Automobiles
121,School
121,Temple
121,School
121,School
121,School
121,Temple
121,School
121,Sports Hub 
121,Sports Hub 
121,Sports Hub 
121,Sports Hub 
121,Sports Hub 
121,Sports Hub 
121,Sports Hub 
121,Restriction of Passage to Pedestrians and/or Automobiles
121,Restriction of Passage to Pedestrians and/or Automobiles
121,Communication Installation
122,Temple
122,School
122,Temple
122,School
122,Sports Hub 
122,Sports Hub 
122,Sports Hub 
122,Sports Hub 
122,Sports Hub 
122,Sports Hub 
122,Sports Hub 
122,Sports Hub 
122,Sports Hub 
122,School
122,Restriction of Passage to Pedestrians and/or Automobiles
122,Restriction of Passage to Pedestrians and/or Automobiles
122,Restriction of Passage to Pedestrians and/or Automobiles
123,School
123,Temple
123,School
123,School
123,Cemetery
123,Urban Infrastructure
123,Urban Infrastructure
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Cemetery
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
123,Sports Hub 
124,Temple
124,Temple
124,School
124,Temple
124,School
124,School
124,Temple
124,Temple
124,Temple
124,Temple
124,Temple
124,Temple
124,Temple
124,School
124,School
124,School
124,School
124,School
124,School
124,School
124,School
124,School
124,School
124,School
